"Agency","Percent"
"USDA",6.42398286937901
"DOC",6.63811563169165
"DOD",2.14132762312634
"ED",1.49892933618844
"DOE",2.56959314775161
"HHS",18.6295503211991
"DOI",15.8458244111349
"DOJ",0.214132762312634
"DOL",3.64025695931478
"DOT",2.14132762312634
"TREAS",6.20985010706638
"STATE",0.214132762312634
"VA",0.428265524625268
"CPSC",2.14132762312634
"EPA",20.5567451820128
"NASA",1.2847965738758
"OSTP",0.428265524625268
"FCC",1.9271948608137
"Access Board",0.214132762312634
"FTC",0.642398286937901
"GSA",1.07066381156317
"NTSB",0.214132762312634
"ONDCP",0.214132762312634
"HUD",0.214132762312634
"FRS",1.49892933618844
"FHFA",1.07066381156317
"OMB",0.214132762312634
"NEA",0.642398286937901
"CFPB",0.214132762312634
"DHS",0.642398286937901
"SEC",0.214132762312634
