"Agency","Trade Associations","Commercial Corporations","Interest Groups","Professional societies/associations","Others"
"Federal Reserve",0,0,0,0,0
"GSA",0,0,0,0,0
"EPA",0,0,4,0,0
"DOC",0,1,0,0,0
"DHS",0,0,0,0,0
"USDA",1,0,0,0,0
"FTC",0,0,0,0,0
"NASA",0,0,1,0,0
"Education",0,0,0,0,1
"Treasury",0,0,0,0,0
"DOE",0,0,0,0,1
"HHS",0,0,5,0,1
"DOI",0,0,2,0,0
